# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.819794714450836182e-01 1.584392599761486053e-02 1.256683319807052612e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.835910320281982422e-01 1.534470077604055405e-02 1.266493648290634155e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.068346619606018066e+00
1.000000000000000000e+03 2.788463643810246140e-05 6.326759466901421547e-05 2.081044840451795608e-06 2.073874441066436702e-07 6.831237442384008318e-08 2.457376524489518488e-10 1.267987117171287537e-02 4.863571822643280029e-01 2.694849627005169168e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.901864528656005859e-01
2.000000000000000000e+03 4.597373772412538528e-03 2.388445660471916199e-02 3.936612512916326523e-03 8.431485039182007313e-04 6.740189855918288231e-04 8.975135860964655876e-04 8.835432119667530060e-03 5.061843991279602051e-01 3.986816387623548508e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.751321077346801758e-01
3.000000000000000000e+03 3.112105280160903931e-02 4.406952857971191406e-02 5.753304598140815407e-14 2.382358652539551258e-04 1.408827840350568295e-03 1.421085471520200372e-14 2.095350064337253571e-02 1.475519537925720215e-01 5.308078331262358618e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.850066304206848145e-01
4.000000000000000000e+03 2.497439086437225342e-02 8.919039828469976783e-05 1.457459641255459681e-13 2.942002197414694820e-11 6.617882754653692245e-04 1.421085471520200372e-14 1.622114889323711395e-02 4.094386994838714600e-01 1.631456065078265572e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.926477074623107910e-01
5.000000000000000000e+03 2.497994154691696167e-02 3.206965629942715168e-05 9.510702625448175240e-07 1.421014417246624362e-06 6.594106671400368214e-04 9.534414857625961304e-07 1.664490438997745514e-02 3.669752478599548340e-01 9.512282872492505703e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.925546646118164062e-01
6.000000000000000000e+03 2.498269639909267426e-02 2.148781865835189819e-01 1.221949150931322947e-05 2.153810709714889526e-01 6.580399349331855774e-04 1.226909353135852143e-05 1.695976406335830688e-02 4.817039966583251953e-01 1.222291939484421164e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.009277701377868652e+00
7.000000000000000000e+03 5.881085619330406189e-02 6.667544133961200714e-03 2.878168370301636969e-09 6.688960827887058258e-03 1.819362863898277283e-02 2.903334461734630167e-09 4.877218231558799744e-02 2.971737384796142578e-01 2.879499527708162532e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.001829028129577637e+00
8.000000000000000000e+03 2.492575347423553467e-02 4.024707322969334200e-06 2.147287903042638391e-10 2.536726384505527676e-09 7.176286890171468258e-04 2.149960209862911142e-10 1.722433976829051971e-02 2.780416309833526611e-01 2.148987238159705271e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.929553866386413574e-01
9.000000000000000000e+03 2.497210539877414703e-02 2.266377123305574059e-06 1.927789151668548584e-01 1.215916256569471443e-10 6.688789580948650837e-04 1.965181678533554077e-01 1.739580556750297546e-02 2.555827200412750244e-01 1.930059194564819336e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.005055665969848633e+00
1.000000000000000000e+04 2.676845528185367584e-02 4.806755168829113245e-04 1.738417777232825756e-04 4.889832343906164169e-04 2.824859393513179384e-06 1.791884860722348094e-04 1.899704895913600922e-02 2.358760088682174683e-01 1.741549058351665735e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.935731291770935059e-01
